dataset,system,entity,precision,recall,f1
semireal.test,tarja,BR_CARTAO,1.0,1.0,1.0
semireal.test,tarja,BR_CEP,1.0,1.0,1.0
semireal.test,tarja,BR_CIB,0.994,1.0,0.997
semireal.test,tarja,BR_CNH,1.0,0.9878,0.9939
semireal.test,tarja,BR_CNJ,1.0,1.0,1.0
semireal.test,tarja,BR_CNM,1.0,1.0,1.0
semireal.test,tarja,BR_CNPJ,1.0,1.0,1.0
semireal.test,tarja,BR_CNS,1.0,1.0,1.0
semireal.test,tarja,BR_CPF,0.9886,1.0,0.9943
semireal.test,tarja,BR_IPTU,0.9878,0.931,0.9586
semireal.test,tarja,BR_MATRICULA_IMOVEL,1.0,0.9884,0.9942
semireal.test,tarja,BR_NIS,0.9143,1.0,0.9552
semireal.test,tarja,BR_PIX_EVP,1.0,0.9938,0.9969
semireal.test,tarja,BR_PLACA,1.0,1.0,1.0
semireal.test,tarja,BR_RENAVAM,1.0,0.9545,0.9767
semireal.test,tarja,BR_TELEFONE,0.9527,0.9817,0.967
semireal.test,tarja,BR_TITULO_ELEITOR,1.0,1.0,1.0
synthetic_adversarial.test,tarja,BR_CARTAO,1.0,0.6543,0.791
synthetic_adversarial.test,tarja,BR_CEP,1.0,0.6558,0.7921
synthetic_adversarial.test,tarja,BR_CIB,1.0,0.8834,0.9381
synthetic_adversarial.test,tarja,BR_CNH,0.9765,0.3333,0.497
synthetic_adversarial.test,tarja,BR_CNJ,1.0,0.7605,0.8639
synthetic_adversarial.test,tarja,BR_CNM,1.0,0.7302,0.844
synthetic_adversarial.test,tarja,BR_CNPJ,1.0,0.7285,0.8429
synthetic_adversarial.test,tarja,BR_CNS,1.0,0.6769,0.8073
synthetic_adversarial.test,tarja,BR_CPF,0.9993,0.7982,0.8875
synthetic_adversarial.test,tarja,BR_IPTU,0.7441,0.6747,0.7077
synthetic_adversarial.test,tarja,BR_MATRICULA_IMOVEL,0.645,0.7167,0.6789
synthetic_adversarial.test,tarja,BR_NIS,0.7101,0.8,0.7524
synthetic_adversarial.test,tarja,BR_PIX_EVP,1.0,0.7663,0.8677
synthetic_adversarial.test,tarja,BR_PLACA,1.0,0.7851,0.8796
synthetic_adversarial.test,tarja,BR_RENAVAM,1.0,0.4278,0.5993
synthetic_adversarial.test,tarja,BR_TELEFONE,0.9448,0.7978,0.8651
synthetic_adversarial.test,tarja,BR_TITULO_ELEITOR,0.9927,0.7982,0.8849
synthetic_controlled.test,tarja,BR_CARTAO,1.0,1.0,1.0
synthetic_controlled.test,tarja,BR_CEP,1.0,0.8164,0.8989
synthetic_controlled.test,tarja,BR_CIB,1.0,1.0,1.0
synthetic_controlled.test,tarja,BR_CNH,0.9904,1.0,0.9952
synthetic_controlled.test,tarja,BR_CNJ,1.0,1.0,1.0
synthetic_controlled.test,tarja,BR_CNM,1.0,1.0,1.0
synthetic_controlled.test,tarja,BR_CNPJ,1.0,1.0,1.0
synthetic_controlled.test,tarja,BR_CNS,1.0,1.0,1.0
synthetic_controlled.test,tarja,BR_CPF,0.9993,1.0,0.9996
synthetic_controlled.test,tarja,BR_IPTU,1.0,0.7601,0.8637
synthetic_controlled.test,tarja,BR_MATRICULA_IMOVEL,0.6493,0.7874,0.7117
synthetic_controlled.test,tarja,BR_NIS,0.9482,1.0,0.9734
synthetic_controlled.test,tarja,BR_PIX_EVP,1.0,1.0,1.0
synthetic_controlled.test,tarja,BR_PLACA,1.0,0.9171,0.9568
synthetic_controlled.test,tarja,BR_RENAVAM,0.9983,0.9949,0.9966
synthetic_controlled.test,tarja,BR_TELEFONE,0.9928,0.9771,0.9849
synthetic_controlled.test,tarja,BR_TITULO_ELEITOR,1.0,1.0,1.0
